Distance,Angle
297.8812682932581,-123.28996383753609
292.8843628464995,-123.93422419942286
270.10599771200935,-127.2517224381725
269.3106941805319,-127.38050377467235
266.93304403913726,-127.77144284469631
237.3104506759026,-133.54870353299233
204.60021994123076,-143.0460910074524
201.05036682383846,-144.41262943686618
199.31946718772855,-145.11395214579173
192.7076801790733,-148.041890526662
191.65659393822065,-148.5491769858723
173.15094570922793,-160.7802265740861
172.5028985263726,-161.4075013096957
168.80832325451254,-165.59331484356312
168.32186429575927,-166.2527097426994
164.01600531655438,-175.45393617294138
163.86961280237406,-176.1510383548111
163.52752061961925,-178.94881925045627
163.64977849053142,177.5484668332122
163.74751906517545,176.84928358673227
164.84310722623496,172.68098062440959
165.1098119434457,171.99258649368312
165.88022787541618,170.28214825938912
166.79703234770096,168.5890168732346
167.2042164540117,167.91720945988848
167.63427453835328,167.24875751246248
170.9744132904102,162.99582312384456
171.56995657748473,162.35710826924037
171.87568181682946,162.03943041601468
172.5028985263726,161.4075013096957
176.69535930521775,157.71687171615292
177.4633765034352,157.11936282358232
178.25052594592813,156.52706715066265
179.88121080312973,155.35833800044168
182.4643800855389,153.6455941220774
183.3609827635094,153.08558864341921
185.2059664265706,151.9821064535454
186.63400011787778,151.16903168760965
187.118278102381,150.90078461003154
188.09904305976679,150.36846332179613
188.59546654148397,150.10439026546783
215.24927409865987,139.42757699755717
215.9010189878686,139.22599817795847
219.86643672921068,138.04184215661837
292.32729944362023,-123.77160795410838
269.50185528118357,-127.08249696517166
267.90903306906245,-127.3404011230309
237.35047924956882,-133.20742360384756
209.35675293622606,-140.91277871563065
204.4070693493745,-142.65358288553358
203.20002460629772,-143.10190561454593
199.65532800303626,-144.47900220159025
199.07599051618456,-144.7132510249403
197.92738567464585,-145.185842784057
191.3302119373728,-148.13745915958114
171.87859087158006,-160.9852608716444
167.59251176589007,-165.83938093978034
162.94247451171225,-175.7765930233444
162.54922331404725,-178.58992710023392
162.51230722625286,-179.2948567786503
162.6968039022279,177.1815602191519
163.98246857514982,172.28991092926148
165.81691711040824,168.52065412403445
166.43992910356576,167.50853068863424
169.72698665798555,163.21992091626285
170.31514906196688,162.57573538901508
171.23740829620144,161.61795585226702
176.15405189776362,157.29256515145798
176.93572279220496,156.6951094607969
177.7364622130192,156.10297318432757
178.5560136203763,155.5162103850889
179.39411919012284,154.9348696419738
181.5688574618456,153.50551009206865
182.01716951980106,153.22378597242988
186.73577589738932,150.48346334404263
209.35675293622606,140.91277871563065
211.26109438322996,140.28124062844512
212.54470118071634,139.86653495401717
213.83930882791404,139.45682938224212
214.4906757880165,139.2538364361192
215.80141334106224,138.85153937527596
234.45095435932865,133.87669728592456
236.62258979226814,133.37320289846295
294.27580600518286,-123.28506169263639
293.4403687293212,-123.39221880322265
290.9402859694752,-123.71737723769287
290.1090312279161,-123.82700746483052
268.10119358182646,-127.04086552188923
265.7127208095239,-127.43054601671659
236.6669600937148,-133.03096547216072
209.21579768267978,-140.52754015165618
207.95011421011532,-140.95291862339042
203.00554179627707,-142.70674223024463
197.68219444350572,-144.78240703180728
183.9191398413988,-151.4144028968106
161.52786137381997,-178.93580450761232
164.2627468417596,169.47676610171018
164.63975826026956,168.79244224641965
169.06285813270756,162.79760463090773
176.41782789729615,156.26834169401576
177.64641848345832,155.3825435058722
180.22832740720867,153.64820756333785
181.12495686679955,153.08127566367554
203.61299074469684,142.48287893757495
205.45376608862637,141.81927869845583
211.13561992236174,139.89909245378777
213.08038389302757,139.28204320109793
214.39041489768147,138.8769266953378
230.88362869636296,134.38582680720577
233.037014227354,133.8698808229845
236.6669600937148,133.03096547216072
294.5662064799695,-123.0157133141221
292.0552173819191,-123.33639436673333
288.7217518650093,-123.77262622894743
238.9335681732477,-132.20110148642365
236.71977103740196,-132.6888685472386
207.80820484283097,-140.56509883491165
